Cliente_ID,Total_Transacoes_2023,Total_Valor_2023,Media_Valor_2023,Total_Transacoes_2024,Total_Valor_2024,Media_Valor_2024
1003,54,33272.010038375854,616.14833404399735,57,33475.680110931396,587.29263352511225
1009,0,0,0,0,0,0
1011,73,49986.719528675079,684.74958258459014,56,35306.370141983032,630.4708953925541
1016,57,38939.919805526733,683.1564878162585,50,28333.029977798462,566.66059955596927
1018,51,31840.850284576416,624.33039773679252,63,39687.529927253723,629.96079249609079
1022,75,48030.159702301025,640.40212936401372,45,32075.849816322327,712.79666258494058
1028,61,36726.730073928833,602.07754219555466,42,25071.400169372559,596.93809927077518
1031,15,9966.5098571777344,664.43399047851563,16,8273.6700744628906,517.10437965393066
1034,58,36756.78003692627,633.73758684355641,57,35353.21971321106,620.23192479317652
1035,65,40455.280006408691,622.38892317551836,44,28256.439860343933,642.19181500781667
1038,63,33802.98007106781,536.5552392232986,58,37018.659881591797,649.45017336125954
1043,76,48370.179979801178,636.44973657633125,50,29457.239963531494,589.14479927062985
1059,13,7449.7399139404297,573.05691645695617,12,8739.7099761962891,728.30916468302405
1060,69,35440.619926452637,513.63217284713971,53,33451.950113296509,631.16887006219827
1071,58,44046.519912719727,759.42275711585739,43,28854.639736175537,671.0381333994311
1074,0,0,0,0,0,0
1088,64,35456.639953613281,562.80380878751237,50,31810.779925346375,636.21559850692745
1090,77,45387.460132598877,589.44753418959579,46,26147.339839935303,568.42043130294132
1094,10,4819.900016784668,481.9900016784668,7,4752.1300201416016,678.87571716308594
1096,0,0,0,0,0,0
1097,62,35340.369710922241,570.00596307939099,46,26282.900074005127,571.36739291315496
1100,46,27398.069957733154,595.61021647245991,39,24870.779899597168,637.7123051178761
1101,65,36068.920017242432,554.90646180372971,40,24741.319759368896,618.53299398422246
1107,69,43864.090114593506,635.71145093613779,59,33863.589906692505,573.95915096088993
1111,56,35446.770088195801,632.97803728921076,39,26876.610000610352,689.14384616949621
1112,62,38660.070148468018,623.54951852367765,58,47257.490074157715,814.78431162340883
1120,0,0,0,0,0,0
1126,60,38436.510164260864,640.60850273768108,38,20712.490118026733,545.0655294217562
1132,71,41052.480093002319,578.20394497186362,41,26777.170021057129,653.10170783066167
1137,76,39027.929968833923,513.52539432676213,54,36773.84992980957,680.99722092239949
1138,60,33988.66999912262,576.07915252750206,57,37757.069774627686,662.40473288820499
1139,43,35065.510272979736,815.47698309255202,48,28799.759930610657,599.99499855438864
1146,70,43650.80989074707,623.58299843924385,47,27220.250118255615,579.15425783522585
1149,51,41631.920437812805,816.31216544730989,55,32971.590005874634,599.48345465226612
1150,68,48796.540171146393,717.59617898744693,42,25274.299984931946,601.76904726028442
1157,59,38410.449924468994,651.02457499099989,38,20735.079953670502,545.65999878080265
1161,0,0,0,0,0,0
1164,49,27972.470071792603,570.86673615903271,47,27007.38008928299,574.62510828261679
1171,0,0,0,0,0,0
1184,76,46597.490030288696,613.12486881958807,45,28303.520263671875,628.96711697048613
1185,65,40567.730011940002,624.11892326061547,56,36428.9098777771,650.51624781744817
1188,52,32451.590153694153,624.06904141719519,50,35785.22974395752,715.70459487915036
1190,0,0,0,0,0,0
1191,76,41400.999811649323,544.74999752170163,55,30868.570011138916,561.24672747525301
1194,68,37815.149868011475,556.10514511781582,59,36264.370086669922,614.65034045203254
1196,58,35229.429866790771,607.4039632205305,47,26946.700180053711,573.33404638412151
1199,0,0,0,0,0,0
1200,17,7999.7699432373047,470.57470254337085,10,6555.4301147460938,655.54301147460933
1202,67,40318.380409240723,601.76687177971223,67,40675.259613037109,607.09342706025541
1204,65,41110.970000267029,632.47646154256972,46,28139.610038757324,625.32466752794051
1208,0,0,0,0,0,0
1209,45,28369.739902496338,630.43866449991867,28,15212.719996452332,543.31142844472618
1210,15,11773.550262451172,784.90335083007813,12,6694.1999359130859,557.84999465942383
1211,57,36313.76989364624,637.08368234467093,56,32518.529899597168,580.68803392137795
1215,0,0,0,0,0,0
1216,62,40336.799997329712,650.59354834402757,53,33169.720135688782,625.84377614507139
1219,80,46525.240203857422,581.56550254821775,55,28926.209924697876,525.93108953996136
1226,61,43710.900115966797,728.51500193277991,46,30472.129978179932,662.43760822130287
1234,71,47106.250117778778,663.46831151801098,44,26133.770011901855,593.94931845231486
1243,52,30165.979866027832,580.11499742361218,49,32006.610143661499,653.19612538084687
1245,68,43776.030138015747,643.76514908846684,49,28913.829929351807,590.07816182350621
1247,56,33583.290177345276,599.70161030973702,51,29356.669856548309,575.62097757937863
1248,60,35292.540119171143,588.20900198618574,57,31398.430061340332,550.84965019895321
1250,0,0,0,0,0,0
1252,0,0,0,0,0,0
1261,0,0,0,0,0,0
