Cliente_ID,Renda_Anual,Limite_Cartao,Produto_Mastercard,Mediana_Renda,Mediana_Limite
6498,123100,9000,Platinum,86700,24000
6498,123100,9000,Platinum,86700,24000
6498,123100,9000,Platinum,86700,24000
6498,123100,9000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
7840,127100,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
6719,112000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
8341,88000,10000,Platinum,86700,24000
